Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Height_cm
Dustin Stoltzfus,"6' 0""",185 lbs.,"75.0""",Orthodox,1991-11-15,16,8,0,3.3,45%,3.23,47%,2.08,37%,46%,1.1,http://ufcstats.com/fighter-details/71505842fb6455c3,182.9
Niklas Stolze,"6' 1""",155 lbs.,"74.0""",Switch,1992-12-28,12,6,0,2.12,48%,2.25,49%,0.66,100%,55%,0.7,http://ufcstats.com/fighter-details/62f7097c04311193,185.4
Ken Stone,"5' 8""",135 lbs.,"71.0""",Southpaw,1982-10-08,11,4,0,3.85,49%,2.9,48%,1.24,33%,60%,0.6,http://ufcstats.com/fighter-details/fbf0947399d14323,172.7
Ryan Stonitsch,"5' 9""",170 lbs.,,Southpaw,1977-02-03,8,1,0,2.53,36%,2.53,71%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8d477c3fbe001f9d,175.3
George Stork,"5' 10""",185 lbs.,,,,7,9,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/61dd409cb40d1a55,177.8
Rick Story,"5' 9""",170 lbs.,"71.0""",Southpaw,1984-08-28,19,9,0,3.8,41%,2.17,62%,2.53,48%,63%,0.9,http://ufcstats.com/fighter-details/5b5307450405abf0,175.3
Darko Stosic,"6' 0""",205 lbs.,"76.0""",Orthodox,1992-02-09,13,4,0,2.61,45%,4.04,58%,3.42,50%,83%,0.0,http://ufcstats.com/fighter-details/025f0b1b58fbad01,182.9
Greg Stott,"5' 7""",220 lbs.,,Southpaw,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/91181b29be041f1c,170.2
Curtis Stout,"6' 1""",185 lbs.,,Southpaw,1973-11-07,11,12,1,0.69,67%,3.2,29%,0.0,0%,20%,0.0,http://ufcstats.com/fighter-details/e09dbbd5fe3f0fe2,185.4
Sam Stout,"5' 9""",155 lbs.,"70.0""",Orthodox,1984-04-23,20,12,1,4.17,28%,4.08,57%,0.63,38%,77%,0.1,http://ufcstats.com/fighter-details/501b07aec9b8fc2d,175.3
Tim Stout,"5' 11""",185 lbs.,,,1979-02-09,12,10,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e1a4568fec1fc24f,180.3
Jesse Strader,"5' 7""",135 lbs.,"70.0""",Orthodox,1991-05-29,5,3,0,5.03,51%,5.28,47%,3.87,57%,100%,0.0,http://ufcstats.com/fighter-details/8c39367b53eadf8a,170.2
Gennaro Strangis,,,,,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/495add4fbede0a44,
Dave Strasser,"5' 10""",170 lbs.,,Orthodox,1969-07-13,25,8,0,3.04,45%,1.88,59%,0.72,33%,33%,0.0,http://ufcstats.com/fighter-details/980b4e712489098e,177.8
Daniel Straus,"5' 7""",145 lbs.,"71.0""",,1984-07-27,24,7,0,4.76,43%,2.99,57%,0.84,15%,81%,1.1,http://ufcstats.com/fighter-details/15347cd4cdf01b03,170.2
Gerald Strebendt,"5' 9""",155 lbs.,,Orthodox,1979-03-01,9,7,0,0.0,0%,4.0,38%,0.0,0%,0%,16.4,http://ufcstats.com/fighter-details/04f9fe830cf13482,175.3
Sean Strickland,"6' 1""",185 lbs.,"76.0""",Orthodox,1991-02-27,30,7,0,6.04,42%,4.57,60%,0.71,64%,76%,0.2,http://ufcstats.com/fighter-details/0d8011111be000b2,185.4
Mark Striegl,"5' 8""",145 lbs.,"70.0""",Southpaw,1988-06-23,18,4,0,1.4,45%,4.07,40%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/ef1182eb28c17d4e,172.7
Hans Stringer,"6' 3""",205 lbs.,,Orthodox,1987-07-06,22,8,3,3.16,61%,2.84,41%,2.4,36%,62%,0.0,http://ufcstats.com/fighter-details/523f6ad11dbe9b53,190.5
Stefan Struve,"6' 11""",265 lbs.,"84.0""",Orthodox,1988-02-18,33,13,0,3.12,47%,4.04,46%,0.56,46%,55%,1.7,http://ufcstats.com/fighter-details/ebc1f40e00e0c481,210.8
Josh Stuart,"5' 9""",160 lbs.,,,,1,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/601cf40c09090853,175.3
Mike Stumpf,"5' 10""",170 lbs.,,,1986-08-01,11,4,0,3.34,43%,8.85,47%,1.59,25%,33%,0.8,http://ufcstats.com/fighter-details/c0c36a5b3d5bbdd5,177.8
Kyle Sturgeon,"6' 3""",225 lbs.,,Switch,1963-02-01,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d30415ec5e8783cd,190.5
Tatiana Suarez,"5' 5""",115 lbs.,"66.0""",Southpaw,1990-12-19,12,1,0,2.95,60%,1.58,45%,4.41,43%,80%,0.6,http://ufcstats.com/fighter-details/b08012bbe542592a,165.1
Masanori Suda,"5' 9""",183 lbs.,,Orthodox,,22,11,3,1.8,50%,1.2,63%,0.0,0%,60%,0.0,http://ufcstats.com/fighter-details/3a7513372f79c8c8,175.3
Genki Sudo,"5' 9""",155 lbs.,,Orthodox,1978-03-08,15,4,2,1.55,39%,2.23,33%,3.58,60%,50%,4.2,http://ufcstats.com/fighter-details/99dd0147dc4ef80c,175.3
Lucasz Sudolski,"6' 4""",205 lbs.,"75.0""",Orthodox,1993-06-15,8,1,0,5.7,67%,4.89,28%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/b160e4f251283d70,193.0
Daisuke Sugie,"5' 6""",160 lbs.,,Orthodox,1980-10-12,10,8,1,0.0,0%,0.22,80%,3.27,50%,0%,3.3,http://ufcstats.com/fighter-details/8215e4fe24e8e81b,167.6
Takashi Sugiura,"5' 11""",225 lbs.,,Southpaw,1970-05-31,1,3,0,1.37,40%,2.08,53%,1.33,66%,0%,0.0,http://ufcstats.com/fighter-details/06c60fc2c8dcd7bd,180.3
Naho Sugiyuma,"5' 1""",105 lbs.,,,1978-02-03,12,5,0,2.59,48%,2.45,71%,2.05,100%,66%,0.0,http://ufcstats.com/fighter-details/b205d4f2ff44bc89,154.9
Sulangrangbo,"5' 9""",135 lbs.,"66.0""",Southpaw,2005-07-17,10,4,0,3.96,48%,3.2,62%,0.0,0%,72%,0.0,http://ufcstats.com/fighter-details/1dd1a3aacde66f72,175.3
George Sullivan,"6' 0""",170 lbs.,"73.0""",Orthodox,1981-03-13,17,7,0,3.53,39%,2.42,57%,1.37,20%,38%,0.7,http://ufcstats.com/fighter-details/6c7e25571490aa3b,182.9
Amar Suloev,"5' 9""",183 lbs.,,Orthodox,1976-07-01,24,7,0,1.98,37%,2.19,70%,0.27,100%,88%,0.3,http://ufcstats.com/fighter-details/7aa88401f93ce836,175.3
Magomed Sultanakhmedov,"6' 2""",185 lbs.,,Southpaw,1984-05-11,18,6,0,0.0,0%,2.4,42%,9.0,100%,0%,9.0,http://ufcstats.com/fighter-details/fe1fdc6be470f773,188.0
Justin Sumter,"6' 2""",185 lbs.,"80.0""",Southpaw,1989-11-16,7,3,0,2.68,48%,7.64,34%,2.87,100%,0%,0.0,http://ufcstats.com/fighter-details/31f9a1f56cbb6ac5,188.0
Sumudaerji,"5' 8""",125 lbs.,"72.0""",Southpaw,1996-01-20,19,7,0,4.43,50%,2.35,62%,0.67,35%,72%,0.5,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,172.7
Rama Supandhi,"5' 5""",125 lbs.,"66.0""",Southpaw,1991-11-07,8,4,0,2.2,42%,3.53,48%,1.0,11%,0%,0.0,http://ufcstats.com/fighter-details/6d537248fe7cccf1,165.1
Aji Susilo,"5' 10""",155 lbs.,,,,6,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/22af3546bd967280,177.8
Baisangur Susurkaev,"6' 2""",185 lbs.,"79.0""",Orthodox,2001-01-08,11,0,0,4.56,59%,3.78,53%,2.76,28%,100%,0.7,http://ufcstats.com/fighter-details/d1feea7a4bdcd503,188.0
Louie Sutherland,"6' 3""",264 lbs.,"76.0""",Orthodox,1994-02-08,10,4,0,2.14,60%,3.57,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/cdb7b38b1b357f26,190.5
Jason Suttie,"6' 0""",210 lbs.,,Orthodox,1973-08-07,0,1,0,2.07,83%,4.97,36%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/cc5834a495d1ea08,182.9
Joel Sutton,"5' 11""",205 lbs.,,Orthodox,1969-07-07,2,4,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a6a9ab5a824e8f66,180.3
Chad Sutton,"6' 1""",185 lbs.,,,1982-08-07,2,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/556347e2b0e33979,185.4
Danilo Suzart,"6' 0""",260 lbs.,,Orthodox,1991-12-04,9,2,0,4.09,55%,11.73,51%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/3d99e5aa85d7576a,182.9
Martin Svensson,"6' 1""",155 lbs.,,,1985-04-25,15,6,0,2.02,38%,5.91,38%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/bcad7223af3c19da,185.4
Daniel Swain,"5' 9""",145 lbs.,"70.0""",Orthodox,1991-01-30,20,10,1,0.8,44%,3.2,40%,0.0,0%,0%,6.0,http://ufcstats.com/fighter-details/cc39185f2d7d89e4,175.3
Cub Swanson,"5' 8""",145 lbs.,"70.0""",Orthodox,1983-11-02,30,14,0,4.79,51%,4.0,59%,1.01,50%,63%,0.4,http://ufcstats.com/fighter-details/d247691a6c0e9034,172.7
Mike Swick,"6' 1""",170 lbs.,"77.0""",Orthodox,1979-06-19,15,6,0,2.36,37%,2.29,54%,1.06,50%,61%,0.6,http://ufcstats.com/fighter-details/9fe85152f351e737,185.4
Floyd Sword,"6' 0""",185 lbs.,,Orthodox,1976-08-24,12,3,0,0.78,42%,1.57,40%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/5330fe7e4c3af81c,182.9
Oumar Sy,"6' 4""",205 lbs.,"83.0""",Orthodox,1995-11-21,12,1,0,3.67,48%,1.72,70%,2.73,36%,100%,0.4,http://ufcstats.com/fighter-details/46e2011d92463b7e,193.0
Klaudia Sygula,"5' 8""",135 lbs.,"69.0""",Orthodox,1998-12-30,8,2,0,7.27,48%,5.5,56%,0.41,12%,40%,0.0,http://ufcstats.com/fighter-details/9f5e3c20ce40b344,172.7
Bentley Syler,"5' 4""",125 lbs.,,Orthodox,1982-12-22,5,1,0,1.3,18%,1.73,79%,0.0,0%,75%,0.0,http://ufcstats.com/fighter-details/abd2109bc4cb0291,162.6
Kevin Syler,"5' 9""",155 lbs.,"71.0""",Switch,1993-07-29,10,1,0,5.6,69%,4.03,48%,1.0,40%,77%,2.0,http://ufcstats.com/fighter-details/9094a881a7513de3,175.3
Leo Sylvest,"5' 11""",205 lbs.,,Orthodox,1973-09-03,10,16,0,0.0,0%,6.58,27%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/58a36b4ccf5dc30e,180.3
Tony Sylvester,"6' 1""",225 lbs.,,Southpaw,1978-01-27,11,3,0,0.0,0%,10.12,12%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/87b7df65c30008c4,185.4
Tim Sylvia,"6' 8""",265 lbs.,"80.0""",Orthodox,1976-03-05,31,10,0,4.23,41%,2.61,61%,0.11,100%,75%,0.1,http://ufcstats.com/fighter-details/2a542ee8a8b83559,203.2
Kevin Szaflarski,"6' 5""",260 lbs.,"77.0""",Orthodox,1994-12-30,11,2,0,1.13,28%,8.07,30%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d2d05dda5f887f87,195.6
Sebastian Szalay,"5' 6""",145 lbs.,"66.0""",Orthodox,1994-02-03,10,2,0,4.94,41%,2.2,65%,0.51,20%,84%,0.0,http://ufcstats.com/fighter-details/f201f21cf2c79eb2,167.6
Bartosz Szewczyk,"6' 4""",205 lbs.,"73.0""",Orthodox,1997-09-18,8,3,1,2.7,33%,3.52,47%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/224050896306f00c,193.0
Osamu Tachihikari,"6' 5""",300 lbs.,,Orthodox,1963-09-12,0,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e7bc606d269896aa,195.6
Amber Tackett,,115 lbs.,,,,1,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/bb01bc3c57f39b04,
Eugenio Tadeu,"5' 8""",160 lbs.,,Orthodox,1963-08-17,2,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f70144caea5c4c80,172.7
Albert Tadevosyan,,170 lbs.,,,1992-04-12,13,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6751b11102b6adfe,
Justin Tafa,"6' 0""",264 lbs.,"74.0""",Southpaw,1993-12-13,7,5,0,4.05,54%,5.11,47%,0.0,0%,53%,0.0,http://ufcstats.com/fighter-details/e13abac8089a801a,182.9
Junior Tafa,"6' 3""",205 lbs.,"75.0""",Orthodox,1996-09-21,6,5,0,3.41,51%,2.55,51%,0.0,0%,70%,0.0,http://ufcstats.com/fighter-details/c15fa95b9a12fde4,190.5
Khalid Taha,"5' 5""",135 lbs.,"69.0""",Orthodox,1992-02-15,13,5,0,2.64,32%,4.12,46%,0.0,0%,61%,0.2,http://ufcstats.com/fighter-details/b4537562f88ac582,165.1
Joe Taimanglo,"5' 4""",135 lbs.,,,1984-06-27,23,7,1,4.18,42%,4.55,59%,5.45,40%,100%,1.4,http://ufcstats.com/fighter-details/9bf126927843e184,162.6
Tatsuro Taira,"5' 7""",125 lbs.,"70.0""",Orthodox,2000-01-27,18,1,0,2.94,60%,2.44,47%,3.12,46%,45%,1.6,http://ufcstats.com/fighter-details/4461d7e47375a895,170.2
Mairbek Taisumov,"5' 9""",155 lbs.,"73.0""",Orthodox,1988-08-08,27,6,0,2.98,39%,3.03,64%,1.34,63%,88%,0.0,http://ufcstats.com/fighter-details/8f5c8850b2484173,175.3
Taiyilake Nueraji,"6' 2""",170 lbs.,"75.0""",Southpaw,2001-01-12,12,1,0,9.82,53%,5.01,58%,1.47,33%,100%,0.0,http://ufcstats.com/fighter-details/7498b3ac79a3b948,188.0
Nobuhiko Takada,"6' 0""",220 lbs.,,Southpaw,1962-04-12,2,6,2,0.31,24%,1.92,39%,1.15,20%,0%,0.0,http://ufcstats.com/fighter-details/a25b71fe5e31fa97,182.9
Yoshiki Takahashi,"5' 11""",199 lbs.,,Southpaw,1969-03-13,30,27,3,2.26,51%,6.47,44%,0.0,0%,66%,2.3,http://ufcstats.com/fighter-details/6420efac0578988b,180.3
Yoko Takahashi,"5' 8""",150 lbs.,,,1973-04-20,15,12,2,5.11,54%,8.78,48%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/01f86e2d604e2f3c,172.7
Daiju Takase,"6' 0""",170 lbs.,,Southpaw,1978-04-20,12,15,2,0.49,30%,1.64,47%,0.84,17%,21%,1.2,http://ufcstats.com/fighter-details/4f74c8be51db8a37,182.9
Hiroyuki Takaya,"5' 6""",139 lbs.,,Orthodox,1977-06-10,21,14,2,3.18,33%,3.16,60%,0.9,45%,66%,0.0,http://ufcstats.com/fighter-details/0d16bdb7d32e88e9,167.6
Yoshihiro Takayama,"6' 5""",280 lbs.,,Orthodox,1968-09-19,1,4,0,3.4,54%,5.69,29%,0.67,33%,55%,0.0,http://ufcstats.com/fighter-details/d856a0080ac09ed7,195.6
Makoto Takimoto,"5' 7""",205 lbs.,,Southpaw,1979-12-08,6,5,0,1.37,39%,1.71,55%,1.48,50%,25%,1.1,http://ufcstats.com/fighter-details/a7724f51e32e763e,170.2
Oleg Taktarov,"6' 0""",210 lbs.,,Orthodox,1967-08-26,17,5,2,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1dc56b59cb28425d,182.9
Payton Talbott,"5' 10""",135 lbs.,"70.0""",Switch,1998-09-09,11,1,0,6.62,56%,3.41,46%,0.78,44%,77%,0.2,http://ufcstats.com/fighter-details/6e743a33d56bdaa4,177.8
Nordine Taleb,"6' 1""",170 lbs.,"74.0""",Orthodox,1981-06-10,15,7,0,3.66,51%,2.62,66%,1.94,76%,73%,0.0,http://ufcstats.com/fighter-details/49858bf46dabf6fb,185.4
Murtaza Talha,"6' 0""",205 lbs.,"74.0""",Orthodox,1996-07-10,7,2,0,4.29,57%,7.09,31%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/6aab5c20395ee722,182.9
Tsuyoshi Tamakairiki,"6' 0""",220 lbs.,,Orthodox,1966-07-16,0,3,0,0.0,0%,26.67,50%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/eaa0a728cc91ef60,182.9
Eli Tamez,"5' 7""",135 lbs.,,,1985-08-22,10,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/bfd4d50591033a1f,170.2
Kiyoshi Tamura,"5' 11""",185 lbs.,,Southpaw,1969-12-17,32,13,3,2.44,53%,1.44,60%,0.58,60%,45%,0.2,http://ufcstats.com/fighter-details/30e8b4505f5ccf92,180.3
Akitoshi Tamura,"5' 9""",135 lbs.,"70.0""",Orthodox,1980-05-31,21,18,2,3.73,43%,1.94,78%,0.0,0%,20%,1.0,http://ufcstats.com/fighter-details/c95fbc085e17a532,175.3
Issei Tamura,"5' 5""",135 lbs.,"63.0""",Orthodox,1984-03-12,10,8,0,1.89,53%,4.58,44%,0.92,25%,33%,0.0,http://ufcstats.com/fighter-details/57bf89d42364d39e,165.1
Jason Tan,"5' 10""",170 lbs.,,Orthodox,1981-12-17,5,3,0,0.69,29%,7.37,18%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ad3041e61896b975,177.8
Akihito Tanaka,,,,Southpaw,1983-03-09,2,2,0,0.19,50%,2.05,38%,5.59,66%,0%,0.0,http://ufcstats.com/fighter-details/1bf49bf829964144,
Michinori Tanaka,"5' 5""",135 lbs.,"67.0""",Orthodox,1990-10-04,11,3,0,1.97,37%,1.99,50%,2.4,38%,43%,0.2,http://ufcstats.com/fighter-details/64788ee44b062ded,165.1
Evan Tanner,"6' 0""",185 lbs.,"74.0""",Orthodox,1971-02-11,32,8,0,3.05,59%,2.64,56%,2.55,43%,25%,1.3,http://ufcstats.com/fighter-details/8f2d9ee27f206f1f,182.9
Kasey Tanner,"5' 7""",135 lbs.,"69.0""",Orthodox,1992-01-11,6,1,0,6.6,50%,6.67,63%,2.0,33%,0%,0.0,http://ufcstats.com/fighter-details/078b732efa497f49,170.2
Otari Tanzilovi,"5' 10""",135 lbs.,"70.0""",Orthodox,1998-04-09,9,1,0,4.53,72%,3.33,55%,4.0,25%,0%,0.0,http://ufcstats.com/fighter-details/b9124c308671e303,177.8
Manny Tapia,"5' 5""",135 lbs.,"67.0""",Orthodox,1981-03-14,12,14,1,2.69,21%,4.74,58%,0.49,40%,66%,0.2,http://ufcstats.com/fighter-details/0eec866a077889f0,165.1
Gary Tapusoa,"5' 7""",185 lbs.,,,1979-09-02,8,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/37ac9e0f4fc86171,170.2
Regina Tarin,"5' 7""",135 lbs.,"66.0""",Southpaw,2004-10-19,8,0,0,7.6,47%,7.0,57%,1.0,33%,50%,0.0,http://ufcstats.com/fighter-details/9f5609dba6584ab2,170.2
Miesha Tate,"5' 6""",135 lbs.,"65.0""",Orthodox,1986-08-18,20,10,0,2.62,44%,3.05,51%,1.97,30%,56%,1.2,http://ufcstats.com/fighter-details/b96619b3acd7d9da,167.6
Aaron Tau,"5' 4""",125 lbs.,"66.0""",Switch,1993-08-21,11,1,0,4.85,44%,5.0,60%,0.89,18%,64%,0.0,http://ufcstats.com/fighter-details/7abf7f8778472b7b,162.6
Deividas Taurosevicius,"5' 9""",145 lbs.,"68.0""",Southpaw,1977-08-28,17,5,0,2.13,43%,1.82,59%,2.0,28%,50%,0.3,http://ufcstats.com/fighter-details/ef927e4fe2117ab8,175.3
Thiago Tavares,"5' 7""",145 lbs.,"70.0""",Orthodox,1984-11-08,21,7,1,2.0,40%,2.31,62%,3.83,42%,62%,1.5,http://ufcstats.com/fighter-details/8a59d346dc976a10,170.2
Jeremy Tavares,,135 lbs.,,,,1,6,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/681d07e328798ec0,
Brad Tavares,"6' 1""",185 lbs.,"74.0""",Orthodox,1987-12-21,21,12,0,3.42,43%,3.36,54%,0.73,26%,81%,0.0,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,185.4
Ramon Taveras,"5' 8""",145 lbs.,"70.0""",Southpaw,1994-01-09,10,4,0,4.07,43%,6.45,54%,0.0,0%,72%,0.0,http://ufcstats.com/fighter-details/c5ccd878231c5407,172.7
Paul Taylor,"6' 0""",155 lbs.,"72.0""",Orthodox,1979-12-15,11,6,1,4.44,47%,4.47,55%,0.27,25%,56%,0.5,http://ufcstats.com/fighter-details/9b74de674c355425,182.9
Jesse Taylor,"6' 0""",170 lbs.,"73.0""",Orthodox,1983-01-02,31,15,0,1.94,65%,0.55,38%,7.28,50%,100%,3.1,http://ufcstats.com/fighter-details/dd992d569aaebee6,182.9
Torrance Taylor,"5' 7""",155 lbs.,,,1987-10-11,13,8,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/88e53ec16b801740,170.2
Louis Taylor,"5' 11""",185 lbs.,,Orthodox,1979-05-12,13,4,0,2.06,32%,1.24,68%,2.48,28%,100%,0.0,http://ufcstats.com/fighter-details/49bddfee9ed54cf3,180.3
Anthony Taylor,"5' 7""",145 lbs.,,,,1,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/637a4d8825464c62,170.2
Danielle Taylor,"5' 0""",115 lbs.,"60.0""",Orthodox,1989-10-25,9,4,0,2.75,29%,3.31,71%,0.2,20%,70%,0.2,http://ufcstats.com/fighter-details/b76c6268dc1d3c05,152.4
J.T Taylor,"5' 10""",,,,,7,7,0,3.17,80%,3.7,26%,3.96,100%,0%,7.9,http://ufcstats.com/fighter-details/17c6e35e4da505b0,177.8
James Te Huna,"6' 2""",185 lbs.,"75.0""",Orthodox,1981-09-29,16,9,0,4.04,51%,2.99,62%,2.75,37%,58%,0.2,http://ufcstats.com/fighter-details/f5431394fb284bb9,188.0
Cam Teague,"5' 10""",145 lbs.,"69.0""",Orthodox,1998-02-13,9,2,0,5.7,28%,18.44,32%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/b47c9ea5f2895d6e,177.8
Shawn Teed,"6' 5""",265 lbs.,,Orthodox,1992-02-13,5,2,0,1.4,42%,13.31,21%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5bb70ebd65075c5c,195.6
Glover Teixeira,"6' 2""",205 lbs.,"76.0""",Orthodox,1979-10-28,33,9,0,3.73,49%,4.43,51%,2.11,33%,60%,0.9,http://ufcstats.com/fighter-details/7ff97850e8c32bda,188.0
John Teixeira,"5' 7""",145 lbs.,,Orthodox,1986-11-18,21,2,2,3.36,35%,3.2,63%,1.0,27%,71%,0.7,http://ufcstats.com/fighter-details/86061eaba822bfea,170.2
Ewerton Teixeira,"6' 1""",242 lbs.,,,1982-02-13,3,1,0,2.0,39%,3.22,35%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/de9e331b3e6bae70,185.4
Tallison Teixeira,"6' 7""",258 lbs.,"83.0""",Orthodox,1999-12-07,9,1,0,5.02,64%,3.86,42%,2.48,30%,0%,0.0,http://ufcstats.com/fighter-details/17923f676f100e16,200.7
Tra Telligman,"6' 2""",233 lbs.,,Orthodox,1965-02-07,7,5,1,1.83,35%,3.02,56%,0.87,100%,80%,0.0,http://ufcstats.com/fighter-details/1dab0d1d81dd06db,188.0
Ramazan Temirov,"5' 4""",125 lbs.,"63.0""",Orthodox,1997-01-31,19,3,0,4.37,40%,3.93,59%,0.84,50%,100%,0.0,http://ufcstats.com/fighter-details/7d0a1968b38ca439,162.6
Taneisha Tennant,"5' 7""",145 lbs.,"70.0""",Orthodox,1989-06-15,5,1,0,5.67,55%,3.4,71%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/87911d22a79d3203,170.2
Herman Terrado,,170 lbs.,,,1989-09-27,15,3,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/61d6368013f8637f,
Dave Terrel,"5' 8""",170 lbs.,,Southpaw,1978-05-10,7,7,0,2.62,43%,2.8,48%,3.28,38%,100%,0.0,http://ufcstats.com/fighter-details/b9aa0024f295609e,172.7
David Terrell,"6' 1""",185 lbs.,,Southpaw,1978-01-09,6,2,0,2.34,63%,2.71,37%,5.54,50%,0%,5.5,http://ufcstats.com/fighter-details/4123fd4dcc1fe937,185.4
James Terry,"5' 10""",170 lbs.,,Orthodox,1981-03-16,19,9,0,3.23,32%,4.77,64%,3.31,36%,75%,0.0,http://ufcstats.com/fighter-details/5befa793316d3469,177.8
Jeff Terry,"6' 2""",205 lbs.,,,,2,3,0,1.09,50%,9.27,19%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/60f86c449cd31e23,188.0
David Teymur,"5' 9""",155 lbs.,"73.0""",Southpaw,1989-05-01,8,2,0,4.69,43%,3.53,55%,0.94,33%,77%,0.0,http://ufcstats.com/fighter-details/2747c60e42d9d75f,175.3
Daniel Teymur,"5' 5""",145 lbs.,"69.0""",Orthodox,1988-02-03,7,4,0,3.08,46%,3.93,56%,0.56,18%,60%,0.3,http://ufcstats.com/fighter-details/fbf0537e420e698e,165.1
Motonobu Tezuka,"5' 7""",135 lbs.,,Southpaw,,28,12,7,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d34636a85f0f4c90,170.2
Jason Thacker,"5' 10""",185 lbs.,,Orthodox,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/f0264252e191da22,177.8
Alexia Thainara,"5' 4""",115 lbs.,"67.0""",Orthodox,1995-11-20,13,1,0,4.52,40%,2.46,65%,3.91,60%,100%,1.7,http://ufcstats.com/fighter-details/545092d13c67aa49,162.6
Brandon Thatch,"6' 2""",170 lbs.,"74.0""",Switch,1985-07-11,11,5,0,2.7,42%,3.63,52%,1.36,66%,50%,0.7,http://ufcstats.com/fighter-details/638cfec7ec559d6e,188.0
Elias Theodorou,"6' 1""",185 lbs.,"75.0""",Orthodox,1988-05-31,16,3,0,4.19,42%,2.39,53%,1.27,28%,59%,0.0,http://ufcstats.com/fighter-details/34f88592c0ab7a54,185.4
Nik Theotikos,,185 lbs.,,Orthodox,,6,2,0,0.0,0%,5.48,19%,0.0,0%,0%,4.8,http://ufcstats.com/fighter-details/ca936c67687789e9,
Paulo Thiago,"5' 11""",170 lbs.,"74.0""",Orthodox,1981-01-25,18,9,0,1.71,39%,1.99,63%,1.42,31%,63%,1.2,http://ufcstats.com/fighter-details/30a09e43f15f1d75,180.3
Colby Thicknesse,"5' 7""",135 lbs.,"69.0""",Orthodox,1999-06-23,8,1,0,3.33,42%,2.8,50%,1.0,9%,50%,0.5,http://ufcstats.com/fighter-details/ed7d329d7c29428d,170.2
